Format per line: w1_cmd, w2_cmd, w3_cmd, w4_cmd (RPM)
5.86, 25.75, -5.59, -25.48
6.39, 25.62, -6.13, -25.36
6.93, 25.49, -6.66, -25.22
7.46, 25.34, -7.18, -25.07
7.98, 25.18, -7.71, -24.91
8.51, 25.01, -8.24, -24.74
9.02, 24.83, -8.76, -24.56
9.53, 24.63, -9.28, -24.38
10.04, 24.42, -9.79, -24.18
10.55, 24.21, -10.30, -23.96
11.05, 23.99, -10.80, -23.74
11.54, 23.75, -11.30, -23.51
12.03, 23.50, -11.80, -23.27
12.52, 23.25, -12.29, -23.01
13.00, 22.98, -12.77, -22.75
13.48, 22.71, -13.24, -22.47
13.95, 22.43, -13.71, -22.19
14.41, 22.13, -14.18, -21.90
14.87, 21.83, -14.63, -21.59
15.32, 21.51, -15.09, -21.28
15.77, 21.19, -15.53, -20.95
16.20, 20.85, -15.97, -20.62
16.63, 20.51, -16.40, -20.28
17.06, 20.16, -16.82, -19.93
17.47, 19.80, -17.25, -19.58
17.87, 19.43, -17.66, -19.21
18.27, 19.05, -18.06, -18.84
18.67, 18.67, -18.45, -18.45
19.05, 18.27, -18.84, -18.06
19.42, 17.87, -19.22, -17.66
19.80, 17.47, -19.58, -17.25
20.15, 17.05, -19.94, -16.83
20.51, 16.63, -20.28, -16.40
20.84, 16.19, -20.64, -15.98
21.17, 15.75, -20.97, -15.55
21.49, 15.30, -21.30, -15.11
21.81, 14.85, -21.61, -14.65
22.11, 14.39, -21.91, -14.20
22.41, 13.93, -22.21, -13.73
22.69, 13.46, -22.49, -13.26
22.96, 12.98, -22.77, -12.79
23.23, 12.50, -23.03, -12.30
23.49, 12.02, -23.29, -11.81
23.73, 11.53, -23.53, -11.32
23.97, 11.03, -23.76, -10.82
24.19, 10.52, -23.99, -10.33
24.40, 10.01, -24.21, -9.82
24.60, 9.50, -24.41, -9.31
24.79, 8.99, -24.60, -8.79
24.97, 8.47, -24.78, -8.28
25.14, 7.95, -24.95, -7.75
25.30, 7.42, -25.10, -7.22
25.45, 6.89, -25.26, -6.70
25.58, 6.36, -25.39, -6.17
25.72, 5.83, -25.51, -5.62
25.83, 5.29, -25.63, -5.09
25.94, 4.75, -25.73, -4.54
26.02, 4.21, -25.82, -4.01
26.11, 3.67, -25.90, -3.46
26.18, 3.12, -25.97, -2.91
26.23, 2.57, -26.03, -2.37
26.27, 2.02, -26.08, -1.83
26.30, 1.46, -26.12, -1.28
26.33, 0.92, -26.14, -0.73
26.34, 0.37, -26.16, -0.18
26.33, -0.19, -26.16, 0.36
26.32, -0.74, -26.15, 0.91
26.29, -1.29, -26.13, 1.45
26.25, -1.85, -26.10, 2.00
26.21, -2.39, -26.05, 2.55
26.15, -2.94, -26.00, 3.09
26.07, -3.49, -25.93, 3.63
25.99, -4.04, -25.86, 4.17
25.89, -4.59, -25.77, 4.71
25.79, -5.13, -25.67, 5.25
25.68, -5.66, -25.55, 5.79
25.56, -6.19, -25.42, 6.33
25.42, -6.73, -25.29, 6.86
25.28, -7.25, -25.13, 7.39
25.12, -7.78, -24.97, 7.92
24.95, -8.29, -24.80, 8.45
24.77, -8.82, -24.62, 8.96
24.58, -9.33, -24.43, 9.48
24.37, -9.85, -24.23, 9.99
24.16, -10.35, -24.02, 10.50
23.93, -10.86, -23.80, 10.99
23.70, -11.35, -23.56, 11.49
23.46, -11.85, -23.32, 11.99
23.20, -12.33, -23.06, 12.48
22.94, -12.81, -22.79, 12.96
22.66, -13.29, -22.52, 13.43
22.38, -13.76, -22.23, 13.90
22.09, -14.22, -21.94, 14.37
21.78, -14.68, -21.63, 14.83
21.47, -15.13, -21.32, 15.28
21.15, -15.57, -21.00, 15.72
20.81, -16.01, -20.66, 16.16
20.47, -16.44, -20.32, 16.59
20.12, -16.86, -19.97, 17.02
19.76, -17.28, -19.61, 17.43
19.39, -17.70, -19.25, 17.84
19.02, -18.09, -18.87, 18.24
18.63, -18.49, -18.49, 18.63
